gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
5195506385	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:126030826	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Jordfall dykplats, väst, Boh	Bohuslän	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.32986	11.56968	100.0						2020-05-03T14:30/2020-05-03T15:30	3	5	2020	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	126030826				CC0_1_0	Andreas Emanuelsson	Andreas Emanuelsson			2025-07-19T14:20:21.018Z		
5195382011	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:126029972	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Jordfall dykplats, väst, Boh	Bohuslän	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.32986	11.56968	100.0						2020-05-03	3	5	2020	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	126029972				CC0_1_0	Andreas Emanuelsson	Andreas Emanuelsson			2025-07-19T14:14:00.906Z		
5195373641	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:126061299	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Släggö, dykplats, Boh	Bohuslän	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.2674	11.4344	100.0						2022-07-15	15	7	2022	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	126061299				CC0_1_0	Andreas Emanuelsson	Andreas Emanuelsson			2025-07-19T14:04:22.560Z		
5195230100	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:126059782	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Skår, dykplats, Boh	Bohuslän	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.29885	11.53046	100.0						2022-07-30T10:30/2022-07-30T11:30	30	7	2022	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	126059782				CC0_1_0	Andreas Emanuelsson	Andreas Emanuelsson			2025-07-19T14:00:42.916Z		
5195162062	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:125994551	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Resö, Boh	Bohuslän	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.79278	11.16944	500.0						2019-08-14	14	8	2019	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	125994551				CC0_1_0	Andreas Emanuelsson	Andreas Emanuelsson			2025-07-19T14:14:52.766Z		
5139462345	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:124365906	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Sandbybadet, Öl	Öland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	57.1714	17.04462	200.0						2018-08-04	4	8	2018	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	124365906				CC0_1_0	Tobias Berger	Tobias Berger			2025-07-19T14:01:46.133Z		
5062284450	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:122562812	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Grunda sandbottnar NO Alskäret, Upl	Uppland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	59.29414	18.98606	100.0						2023-09-08	8	9	2023	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	122562812				CC0_1_0	Anna-Sara Liman	Fredrik Engdahl			2025-07-19T14:13:49.155Z		
5062270454	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:122562753	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Sandbotten N Finnkobben, Upl	Uppland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	59.29366	18.99266	100.0						2023-09-08	8	9	2023	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	122562753				CC0_1_0	Anna-Sara Liman	Fredrik Engdahl			2025-07-19T14:21:46.229Z		
5052043215	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:122210937	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Petesvik, Gtl	Gotland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	57.18277	18.16649	25.0						2022-09-03	3	9	2022	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	122210937				CC0_1_0	Gun Ingmansson	Gun Ingmansson			2025-07-19T14:07:48.815Z		
4953254915	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:120175771	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Fårö, Ryssnäs SV-del, Gtl	Gotland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	57.84768	19.11834	250.0						2022-08-01	1	8	2022	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	120175771				CC0_1_0	Jörgen Petersson	Jörgen Petersson, Gun Ingmansson, Bengt Carlsson, Brita Svensson			2025-07-19T14:03:22.256Z		
