gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,geometry
5195506385,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:sighting:126030826,Plantae,Tracheophyta,Liliopsida,Alismatales,Zosteraceae,Zostera,Zostera marina,,SPECIES,Zostera marina L.,Zostera marina,L.,SE,"Jordfall dykplats, väst, Boh",Bohuslän,PRESENT,,b8323864-602a-4a7d-9127-bb903054e97d,58.32986,11.56968,100.0,,,,,,2020-05-03T14:30/2020-05-03T15:30,3.0,5.0,2020,2863967,2863967.0,HUMAN_OBSERVATION,SLU Artdatabanken,Artportalen,126030826,,,,CC0_1_0,Andreas Emanuelsson,Andreas Emanuelsson,,,2025-07-19T14:20:21.018Z,,,POINT (11.56968 58.32986)
5195382011,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:sighting:126029972,Plantae,Tracheophyta,Liliopsida,Alismatales,Zosteraceae,Zostera,Zostera marina,,SPECIES,Zostera marina L.,Zostera marina,L.,SE,"Jordfall dykplats, väst, Boh",Bohuslän,PRESENT,,b8323864-602a-4a7d-9127-bb903054e97d,58.32986,11.56968,100.0,,,,,,2020-05-03,3.0,5.0,2020,2863967,2863967.0,HUMAN_OBSERVATION,SLU Artdatabanken,Artportalen,126029972,,,,CC0_1_0,Andreas Emanuelsson,Andreas Emanuelsson,,,2025-07-19T14:14:00.906Z,,,POINT (11.56968 58.32986)
5195373641,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:sighting:126061299,Plantae,Tracheophyta,Liliopsida,Alismatales,Zosteraceae,Zostera,Zostera marina,,SPECIES,Zostera marina L.,Zostera marina,L.,SE,"Släggö, dykplats, Boh",Bohuslän,PRESENT,,b8323864-602a-4a7d-9127-bb903054e97d,58.2674,11.4344,100.0,,,,,,2022-07-15,15.0,7.0,2022,2863967,2863967.0,HUMAN_OBSERVATION,SLU Artdatabanken,Artportalen,126061299,,,,CC0_1_0,Andreas Emanuelsson,Andreas Emanuelsson,,,2025-07-19T14:04:22.560Z,,,POINT (11.4344 58.2674)
5195162062,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:sighting:125994551,Plantae,Tracheophyta,Liliopsida,Alismatales,Zosteraceae,Zostera,Zostera marina,,SPECIES,Zostera marina L.,Zostera marina,L.,SE,"Resö, Boh",Bohuslän,PRESENT,,b8323864-602a-4a7d-9127-bb903054e97d,58.79278,11.16944,500.0,,,,,,2019-08-14,14.0,8.0,2019,2863967,2863967.0,HUMAN_OBSERVATION,SLU Artdatabanken,Artportalen,125994551,,,,CC0_1_0,Andreas Emanuelsson,Andreas Emanuelsson,,,2025-07-19T14:14:52.766Z,,,POINT (11.16944 58.79278)
4506941965,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:sighting:113805529,Plantae,Tracheophyta,Liliopsida,Alismatales,Zosteraceae,Zostera,Zostera marina,,SPECIES,Zostera marina L.,Zostera marina,L.,SE,"Strandbaden, Sk",Skåne,PRESENT,,b8323864-602a-4a7d-9127-bb903054e97d,56.22762,12.53679,784.0,,,,,,2023-12-31T12:45/2023-12-31T14:45,31.0,12.0,2023,2863967,2863967.0,HUMAN_OBSERVATION,SLU Artdatabanken,Artportalen,113805529,,,,CC0_1_0,Ola Elleström,Ola Elleström,,,2025-07-19T14:23:14.781Z,,,POINT (12.53679 56.22762)
4500185533,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:sighting:113643875,Plantae,Tracheophyta,Liliopsida,Alismatales,Zosteraceae,Zostera,Zostera marina,,SPECIES,Zostera marina L.,Zostera marina,L.,SE,"Ribersborgsstranden östra delen, Sk",Skåne,PRESENT,,b8323864-602a-4a7d-9127-bb903054e97d,55.60547,12.97117,500.0,,,,,,2023-12-14,14.0,12.0,2023,2863967,2863967.0,HUMAN_OBSERVATION,SLU Artdatabanken,Artportalen,113643875,,,,CC0_1_0,Johan Niss,Johan Niss,,,2025-07-19T14:07:54.731Z,,,POINT (12.97117 55.60547)
4439963632,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:sighting:113168063,Plantae,Tracheophyta,Liliopsida,Alismatales,Zosteraceae,Zostera,Zostera marina,,SPECIES,Zostera marina L.,Zostera marina,L.,SE,"Fossen, dykplats, Boh",Bohuslän,PRESENT,,b8323864-602a-4a7d-9127-bb903054e97d,58.32163,11.55856,118.0,,,,,,2023-11-04,4.0,11.0,2023,2863967,2863967.0,HUMAN_OBSERVATION,SLU Artdatabanken,Artportalen,113168063,,,,CC0_1_0,Linnea Järvstråt,Linnea Järvstråt,,,2025-07-19T14:22:18.553Z,,,POINT (11.55856 58.32163)
4428904753,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:sighting:112679853,Plantae,Tracheophyta,Liliopsida,Alismatales,Zosteraceae,Zostera,Zostera marina,,SPECIES,Zostera marina L.,Zostera marina,L.,SE,"Tjolöholm, Storeskogs västra strand, Hl",Halland,PRESENT,,b8323864-602a-4a7d-9127-bb903054e97d,57.40606,12.08159,10.0,,,,,,2023-07-14,14.0,7.0,2023,2863967,2863967.0,HUMAN_OBSERVATION,SLU Artdatabanken,Artportalen,112679853,,,,CC0_1_0,Charlotte Wigermo,"Charlotte Wigermo, Åke Svensson",,,2025-07-19T14:13:45.811Z,,,POINT (12.08159 57.40606)
4422144645,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:sighting:112418628,Plantae,Tracheophyta,Liliopsida,Alismatales,Zosteraceae,Zostera,Zostera marina,,SPECIES,Zostera marina L.,Zostera marina,L.,SE,"Väster om Tärnö, Bua udde, Värö, Hl",Halland,PRESENT,30000.0,b8323864-602a-4a7d-9127-bb903054e97d,57.24228,12.10533,164.0,,,,,,2023-09-09,9.0,9.0,2023,2863967,2863967.0,HUMAN_OBSERVATION,SLU Artdatabanken,Artportalen,112418628,,,,CC0_1_0,Mats Bergström,Mats Bergström,,,2025-07-19T14:22:46.089Z,,,POINT (12.10533 57.24228)
4422135461,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:sighting:112418478,Plantae,Tracheophyta,Liliopsida,Alismatales,Zosteraceae,Zostera,Zostera marina,,SPECIES,Zostera marina L.,Zostera marina,L.,SE,"Badviken, Bua udde, Bua udde, Värö, Hl",Halland,PRESENT,250.0,b8323864-602a-4a7d-9127-bb903054e97d,57.24137,12.1012,55.0,,,,,,2023-09-09,9.0,9.0,2023,2863967,2863967.0,HUMAN_OBSERVATION,SLU Artdatabanken,Artportalen,112418478,,,,CC0_1_0,Mats Bergström,Mats Bergström,,,2025-07-19T14:22:29.855Z,,,POINT (12.1012 57.24137)
